item_id;name;category;price;old_price;sellable_online;link;other_colors;short_description;designer;depth;height;width;price_usd;category_total
69330159;PAX / AULI;Wardrobes (236);2255,0;No old price;TRUE;https://www.ikea.com/sa/en/p/pax-auli-wardrobe-combination-brown-stained-ash-effect-mirror-glass-s69330159/;No;Wardrobe combination, 150x66x236 cm;Ehlén Johansson/IKEA of Sweden;66;236;150;608,850;236
59157353;ELVARLI;Wardrobes (236);678,0;SR 965;TRUE;https://www.ikea.com/sa/en/p/elvarli-1-section-white-s59157353/;No;1 section, 84x55x216 cm;IKEA of Sweden/Ehlén Johansson;55;216;84;183,060;236
79331870;PAX / GRIMO/VIKEDAL;Wardrobes (236);4230,0;No old price;TRUE;https://www.ikea.com/sa/en/p/pax-grimo-vikedal-corner-wardrobe-white-mirror-glass-s79331870/;No;Corner wardrobe, 210/160x236 cm;IKEA of Sweden/Ola Wihlborg/Ehlén Johansson;NA;236;160;1142,100;236
89329536;PAX / VIKEDAL;Wardrobes (236);2940,0;No old price;TRUE;https://www.ikea.com/sa/en/p/pax-vikedal-wardrobe-combination-brown-stained-ash-effect-mirror-glass-s89329536/;No;Wardrobe combination, 150x60x236 cm;Ehlén Johansson/IKEA of Sweden;60;236;150;793,800;236
99264964;PAX;Wardrobes (236);3110,0;No old price;TRUE;https://www.ikea.com/sa/en/p/pax-wardrobe-white-tyssedal-white-s99264964/;Yes;Wardrobe, 150x60x236 cm;IKEA of Sweden/Ebba Strandmark/Ehlén Johansson;60;236;150;839,700;236
9025765;PAX;Wardrobes (236);2125,0;No old price;TRUE;https://www.ikea.com/sa/en/p/pax-wardrobe-white-auli-mirror-glass-s09025765/;No;Wardrobe, 150x44x236 cm;Ehlén Johansson/IKEA of Sweden;44;236;150;573,750;236
9157529;ELVARLI;Wardrobes (236);1518,0;SR 2,220;TRUE;https://www.ikea.com/sa/en/p/elvarli-2-sections-white-bamboo-s09157529/;No;2 sections, 165x55x216 cm;Ehlén Johansson/IKEA of Sweden;55;216;165;409,860;236
69030368;PAX;Wardrobes (236);2950,0;No old price;TRUE;https://www.ikea.com/sa/en/p/pax-wardrobe-white-vinterbro-white-s69030368/;No;Wardrobe, 150x60x236 cm;IKEA of Sweden/Ehlén Johansson;60;236;150;796,500;236
69286910;PAX;Wardrobes (236);2380,0;No old price;TRUE;https://www.ikea.com/sa/en/p/pax-wardrobe-black-brown-forsand-black-brown-stained-ash-effect-s69286910/;Yes;Wardrobe, 150x60x201 cm;IKEA of Sweden/Ehlén Johansson;60;201;150;642,600;236
69331074;PAX;Wardrobes (236);2945,0;No old price;TRUE;https://www.ikea.com/sa/en/p/pax-corner-wardrobe-white-s69331074/;No;Corner wardrobe, 160/163x236 cm;Ehlén Johansson/IKEA of Sweden;NA;236;162;795,150;236
